Accuracy,Kappa,degree,scale,C,Resample
0.5270935960591133,0.021514824391835934,1,0.001,0.25,Training1000
0.5270935960591133,0.02190770157343975,2,0.001,0.25,Training1000
0.5172413793103449,-0.002898696846721627,3,0.001,0.25,Training1000
0.5197044334975369,0,1,0.01,0.25,Training1000
0.5197044334975369,0.0032231259285372144,2,0.01,0.25,Training1000
0.5197044334975369,0,3,0.01,0.25,Training1000
0.5197044334975369,0,1,0.1,0.25,Training1000
0.5295566502463054,0.023276318109680772,2,0.1,0.25,Training1000
0.5492610837438424,0.0757345806483718,3,0.1,0.25,Training1000
0.5221674876847291,0.005329224862980936,1,0.001,0.5,Training1000
0.5147783251231527,-0.009848236155652628,2,0.001,0.5,Training1000
0.5320197044334976,0.029758760345131217,3,0.001,0.5,Training1000
0.5197044334975369,0,1,0.01,0.5,Training1000
0.5197044334975369,0,2,0.01,0.5,Training1000
0.5172413793103449,-0.004519174934989176,3,0.01,0.5,Training1000
0.5221674876847291,0.006533639413738622,1,0.1,0.5,Training1000
0.5492610837438424,0.06980995067230894,2,0.1,0.5,Training1000
0.5492610837438424,0.07166954044531076,3,0.1,0.5,Training1000
0.5197044334975369,0,1,0.001,1,Training1000
0.5197044334975369,4.0403020125753895e-4,2,0.001,1,Training1000
0.5197044334975369,4.0403020125753895e-4,3,0.001,1,Training1000
0.5344827586206896,0.03544762048419931,1,0.01,1,Training1000
0.5221674876847291,0.006132492113564765,2,0.01,1,Training1000
0.5197044334975369,0,3,0.01,1,Training1000
0.5221674876847291,0.0057310207276127425,1,0.1,1,Training1000
0.5492610837438424,0.06943713834823782,2,0.1,1,Training1000
0.5147783251231527,-0.009848236155652628,3,0.1,1,Training1000
0.5197044334975369,0.0024192938686020717,1,0.001,0.25,Training1001
0.5221674876847291,0.005329224862980936,2,0.001,0.25,Training1001
0.4852216748768473,-0.0640533694479974,3,0.001,0.25,Training1001
0.5443349753694581,0.061148471288217605,1,0.01,0.25,Training1001
0.5369458128078818,0.040743998994595965,2,0.01,0.25,Training1001
0.4729064039408867,-0.07761764195172773,3,0.01,0.25,Training1001
0.5246305418719212,0.011055859858141684,1,0.1,0.25,Training1001
0.5246305418719212,0.011854019016873028,2,0.1,0.25,Training1001
0.5492610837438424,0.06906402706427772,3,0.1,0.25,Training1001
0.5197044334975369,4.0403020125753895e-4,1,0.001,0.5,Training1001
0.5197044334975369,4.0403020125753895e-4,2,0.001,0.5,Training1001
0.5197044334975369,0,3,0.001,0.5,Training1001
0.5270935960591133,0.018755821857455807,1,0.01,0.5,Training1001
0.5270935960591133,0.02308444243928115,2,0.01,0.5,Training1001
0.5221674876847291,0.006132492113564765,3,0.01,0.5,Training1001
0.5197044334975369,4.0403020125753895e-4,1,0.1,0.5,Training1001
0.5197044334975369,0,2,0.1,0.5,Training1001
0.5492610837438424,0.07166954044531076,3,0.1,0.5,Training1001
0.5197044334975369,0,1,0.001,1,Training1001
0.5197044334975369,0.0024192938686020717,2,0.001,1,Training1001
0.5172413793103449,-0.004113564668769607,3,0.001,1,Training1001
0.5197044334975369,0.0012111119521610626,1,0.01,1,Training1001
0.5197044334975369,0.0016141642916592902,2,0.01,1,Training1001
0.5197044334975369,0.0012111119521610626,3,0.01,1,Training1001
0.5221674876847291,0.0073349633251836846,1,0.1,1,Training1001
0.541871921182266,0.05512875053176842,2,0.1,1,Training1001
0.5517241379310345,0.08096813512101696,3,0.1,1,Training1001
0.5221674876847291,4.5685279187805087e-4,1,0.001,0.25,Training1002
0.5221674876847291,4.5685279187805087e-4,2,0.001,0.25,Training1002
0.5295566502463054,0.019274060958644115,3,0.001,0.25,Training1002
0.5197044334975369,-0.0035492457852705855,1,0.01,0.25,Training1002
0.5221674876847291,9.132883454259362e-4,2,0.01,0.25,Training1002
0.541871921182266,0.0516401265886372,3,0.01,0.25,Training1002
0.5295566502463054,0.019274060958644115,1,0.1,0.25,Training1002
0.5467980295566502,0.06310825724892134,2,0.1,0.25,Training1002
0.5640394088669951,0.09976699321023227,3,0.1,0.25,Training1002
0.5295566502463054,0.022833236724715676,1,0.001,0.5,Training1002
0.5246305418719212,0.00583623030272254,2,0.001,0.5,Training1002
0.4630541871921182,-0.10106488853503208,3,0.001,0.5,Training1002
0.5221674876847291,0,1,0.01,0.5,Training1002
