Accuracy,Kappa,C,Resample
0.5245901639344263,0,0.01,Training1000
0.5245901639344263,0,0.1,Training1000
0.5245901639344263,0,0.5,Training1000
0.5273224043715847,0.00715024931790394,1,Training1000
0.5191256830601093,-0.00864336715520465,2,Training1000
0.5245901639344263,-0.004194392759153332,0.01,Training1001
0.5300546448087432,0.006721575310044636,0.1,Training1001
0.5273224043715847,0,0.5,Training1001
0.5273224043715847,0,1,Training1001
0.5300546448087432,0.006721575310044636,2,Training1001
0.5300546448087432,0.001395939086294616,0.01,Training1002
0.5327868852459017,0.0068551842330763025,0.1,Training1002
0.5327868852459017,0.00754812723985909,0.5,Training1002
0.5300546448087432,0,1,Training1002
0.5355191256830601,0.01300761421319818,2,Training1002
0.5300546448087432,0.0027879863135216623,0.01,Training1003
0.5327868852459017,0.00754812723985909,0.1,Training1003
0.5300546448087432,0.004176157934700204,0.5,Training1003
0.5300546448087432,0,1,Training1003
0.5273224043715847,-0.0026603325415676064,2,Training1003
0.5300546448087432,6.984570448916033e-4,0.01,Training1004
0.5300546448087432,0.004176157934700204,0.1,Training1004
0.5273224043715847,-0.001265062146177877,0.5,Training1004
0.5327868852459017,0.00754812723985909,1,Training1004
0.5273224043715847,-0.001265062146177877,2,Training1004
0.5382513661202186,0.023922991952027687,0.01,Training1005
0.5300546448087432,0,0.1,Training1005
0.5300546448087432,0.005560470112473238,0.5,Training1005
0.5300546448087432,0.004176157934700204,1,Training1005
0.5245901639344263,-0.006702497628833407,2,Training1005
0.5300546448087432,6.984570448916033e-4,0.01,Training1006
0.5382513661202186,0.0205225653206652,0.1,Training1006
0.42896174863387976,-0.15038950882786412,0.5,Training1006
0.5327868852459017,0.01237178475619368,1,Training1006
0.5300546448087432,0.004868795447360094,2,Training1006
0.5327868852459017,0.008931116389548795,0.01,Training1007
0.5273224043715847,-5.688821465818129e-4,0.1,Training1007
0.5300546448087432,0.005560470112473238,0.5,Training1007
0.5300546448087432,0,1,Training1007
0.5327868852459017,0.010998388167251516,2,Training1007
0.5327868852459017,0.008931116389548795,0.01,Training1008
0.5300546448087432,0.004868795447360094,0.1,Training1008
0.5300546448087432,0.004868795447360094,0.5,Training1008
0.5300546448087432,0.006251183936351773,1,Training1008
0.5327868852459017,0.010998388167251516,2,Training1008
0.5409836065573771,0.032050878408160836,0.01,Training1009
0.5491803278688525,0.05097903636420788,0.1,Training1009
0.5437158469945356,0.03814559531677848,0.5,Training1009
0.4808743169398907,-0.062328139321723264,1,Training1009
0.5300546448087432,0,2,Training1009
0.45901639344262296,-0.09372453137734307,0.01,Training1010
0.5327868852459017,0.00153154015506866,0.1,Training1010
0.5573770491803278,0.0658852443520181,0.5,Training1010
0.5327868852459017,0,1,Training1010
0.5573770491803278,0.06517831803992039,2,Training1010
0.5573770491803278,0.061954183014808185,0.01,Training1011
0.5437158469945356,0.021327697185128218,0.1,Training1011
0.5355191256830601,0.005816183049980946,0.5,Training1011
0.5355191256830601,0,1,Training1011
0.5601092896174863,0.06505251800844085,2,Training1011
0.5601092896174863,0.06965802519814318,0.01,Training1012
0.5327868852459017,3.83325347388651e-4,0.1,Training1012
0.5382513661202186,0.01289457725575304,0.5,Training1012
0.546448087431694,0.034024421266853365,1,Training1012
0.5355191256830601,0.005816183049980946,2,Training1012
0.5546448087431693,0.05655185501470715,0.01,Training1013
0.5355191256830601,8.350462487151945e-4,0.1,Training1013
0.5409836065573771,0.0215772388772198,0.5,Training1013
0.5355191256830601,0.007465543644716813,1,Training1013
