Accuracy,Kappa,sigma,C,Resample
0.5218579234972678,-0.0037611659614481224,0.037935124140244136,0.25,Training1000
0.5027322404371585,-0.036601307189542645,0.13747544815911564,0.25,Training1000
0.5136612021857924,-0.015525626636737655,0.23701577217798714,0.25,Training1000
0.5327868852459017,0.025777528719529274,0.037935124140244136,0.5,Training1000
0.5245901639344263,0.010626398210290735,0.13747544815911564,0.5,Training1000
0.5191256830601093,-1.8632383081798834e-4,0.23701577217798714,0.5,Training1000
0.5273224043715847,0.008269899445540853,0.037935124140244136,1,Training1000
0.5163934426229508,-0.012376933895921151,0.13747544815911564,1,Training1000
0.5218579234972678,-0.005462936799472628,0.23701577217798714,1,Training1000
0.5409836065573771,0.034694966874941086,0.037935124140244136,0.25,Training1001
0.5409836065573771,0.04370275902827473,0.13747544815911564,0.25,Training1001
0.4453551912568306,-0.13748124559845706,0.23701577217798714,0.25,Training1001
0.5245901639344263,-0.004194392759153332,0.037935124140244136,0.5,Training1001
0.5136612021857924,-0.022763666049169632,0.13747544815911564,0.5,Training1001
0.5163934426229508,-0.009725988964743294,0.23701577217798714,0.5,Training1001
0.5273224043715847,6.313330597557646e-4,0.037935124140244136,1,Training1001
0.5136612021857924,-0.01765128557593186,0.13747544815911564,1,Training1001
0.5136612021857924,-0.01701582940460208,0.23701577217798714,1,Training1001
0.5519125683060109,0.05575132141958199,0.037935124140244136,0.25,Training1002
0.5081967213114754,-0.0370883445626849,0.13747544815911564,0.25,Training1002
0.5245901639344263,0.004377462322556368,0.23701577217798714,0.25,Training1002
0.5437158469945356,0.034804029940308935,0.037935124140244136,0.5,Training1002
0.5273224043715847,0.006340039546781307,0.13747544815911564,0.5,Training1002
0.5136612021857924,-0.022025602409638682,0.23701577217798714,0.5,Training1002
0.5355191256830601,0.013696024348487807,0.037935124140244136,1,Training1002
0.5163934426229508,-0.01593325596712977,0.13747544815911564,1,Training1002
0.5355191256830601,0.01575550493545952,0.23701577217798714,1,Training1002
0.5273224043715847,-0.005462571855051129,0.037935124140244136,0.25,Training1003
0.5300546448087432,0,0.13747544815911564,0.25,Training1003
0.5191256830601093,-0.011939173055171625,0.23701577217798714,0.25,Training1003
0.5437158469945356,0.03947575195650129,0.037935124140244136,0.5,Training1003
0.5273224043715847,0.00907696641522417,0.13747544815911564,0.5,Training1003
0.5136612021857924,-0.021320624568884457,0.23701577217798714,0.5,Training1003
0.5437158469945356,0.03947575195650129,0.037935124140244136,1,Training1003
0.5245901639344263,0.005061867266591705,0.13747544815911564,1,Training1003
