Accuracy,Kappa,C,sigma,Resample
0.5245901639344263,0,0.001,0.001,Training1000
0.5218579234972678,-0.0031951884221407684,0.1,0.001,Training1000
0.5245901639344263,0,0.25,0.001,Training1000
0.5245901639344263,0.0028184892897408697,0.5,0.001,Training1000
0.5218579234972678,-0.0037611659614481224,1,0.001,Training1000
0.5245901639344263,0,0.001,0.002,Training1000
0.5245901639344263,0,0.1,0.002,Training1000
0.5245901639344263,0.0011293054771317258,0.25,0.002,Training1000
0.5245901639344263,0,0.5,0.002,Training1000
0.5245901639344263,0,1,0.002,Training1000
0.5273224043715847,0.01383048313241743,0.001,0.005,Training1000
0.5218579234972678,-0.0031951884221407684,0.1,0.005,Training1000
0.5245901639344263,0.0022560631697686115,0.25,0.005,Training1000
0.5273224043715847,0.008828778059547392,0.5,0.005,Training1000
0.5245901639344263,0,1,0.005,Training1000
0.5191256830601093,-0.009781790820165542,0.001,0.01,Training1000
0.5327868852459017,0.021390374331550846,0.1,0.01,Training1000
0.5245901639344263,0,0.25,0.01,Training1000
0.5245901639344263,0,0.5,0.01,Training1000
0.5245901639344263,5.649717514122771e-4,1,0.01,Training1000
0.5273224043715847,0,0.001,0.001,Training1001
0.5245901639344263,-0.0035614106968390137,0.1,0.001,Training1001
0.5273224043715847,6.313330597557646e-4,0.25,0.001,Training1001
0.5136612021857924,-0.024694076567365983,0.5,0.001,Training1001
0.5382513661202186,0.029253899996861163,1,0.001,Training1001
0.5245901639344263,-0.00546275537591963,0.001,0.002,Training1001
0.5273224043715847,6.313330597557646e-4,0.1,0.002,Training1001
0.5382513661202186,0.028033564851189588,0.25,0.002,Training1001
0.5382513661202186,0.028033564851189588,0.5,0.002,Training1001
0.5273224043715847,6.313330597557646e-4,1,0.002,Training1001
0.5273224043715847,0.0031487137504329315,0.001,0.005,Training1001
0.5273224043715847,6.313330597557646e-4,0.1,0.005,Training1001
0.5273224043715847,0,0.25,0.005,Training1001
0.5273224043715847,0,0.5,0.005,Training1001
0.5245901639344263,-0.004194392759153332,1,0.005,Training1001
0.5273224043715847,0.0012618694596045847,0.001,0.01,Training1001
0.5218579234972678,-0.009647214603234868,0.1,0.01,Training1001
0.5245901639344263,-0.0035614106968390137,0.25,0.01,Training1001
0.5273224043715847,0.008766711543880614,0.5,0.01,Training1001
0.5245901639344263,-0.00546275537591963,1,0.01,Training1001
0.5300546448087432,0,0.001,0.001,Training1002
0.5409836065573771,0.028011381599747098,0.1,0.001,Training1002
0.5382513661202186,0.024600246002460035,0.25,0.001,Training1002
0.5355191256830601,0.01575550493545952,0.5,0.001,Training1002
0.5327868852459017,0.009621166566446149,1,0.001,Training1002
0.5300546448087432,6.984570448916033e-4,0.001,0.002,Training1002
0.5300546448087432,0,0.1,0.002,Training1002
0.5409836065573771,0.030035335689045792,0.25,0.002,Training1002
0.5300546448087432,0,0.5,0.002,Training1002
0.5300546448087432,0.001395939086294616,1,0.002,Training1002
0.42349726775956287,-0.13731554298842447,0.001,0.005,Training1002
0.5327868852459017,0.009621166566446149,0.1,0.005,Training1002
0.5327868852459017,0.014424742527794361,0.25,0.005,Training1002
0.5300546448087432,0,0.5,0.005,Training1002
0.5245901639344263,-0.009511128019783094,1,0.005,Training1002
0.5437158469945356,0.03547419914786169,0.001,0.01,Training1002
0.5245901639344263,-0.009511128019783094,0.1,0.01,Training1002
0.5300546448087432,0,0.25,0.01,Training1002
0.5355191256830601,0.01575550493545952,0.5,0.01,Training1002
0.5300546448087432,6.984570448916033e-4,1,0.01,Training1002
0.5300546448087432,0,0.001,0.001,Training1003
0.5300546448087432,0,0.1,0.001,Training1003
0.5327868852459017,0.006161272906278956,0.25,0.001,Training1003
0.5327868852459017,0.006161272906278956,0.5,0.001,Training1003
0.5300546448087432,0,1,0.001,Training1003
0.5300546448087432,6.984570448916033e-4,0.001,0.002,Training1003
0.546448087431694,0.04158253407370002,0.1,0.002,Training1003
0.5245901639344263,-0.009511128019783094,0.25,0.002,Training1003
0.5355191256830601,0.01575550493545952,0.5,0.002,Training1003
0.5300546448087432,0,1,0.002,Training1003
0.5300546448087432,0.002092448164352356,0.001,0.005,Training1003
0.5300546448087432,0,0.1,0.005,Training1003
0.5327868852459017,0.0068551842330763025,0.25,0.005,Training1003
0.5327868852459017,0.017148779798360624,0.5,0.005,Training1003
0.5245901639344263,-0.009511128019783094,1,0.005,Training1003
0.5273224043715847,-0.0033594269958480295,0.001,0.01,Training1003
0.5355191256830601,0.019168926161800808,0.1,0.01,Training1003
