Accuracy,Kappa,size,decay,Resample
0.5714285714285714,0.12345832195945106,1,0.001,Training1000
0.5344827586206896,0.04352703612295268,2,0.001,Training1000
0.5394088669950738,0.061509555242403924,3,0.001,Training1000
0.5221674876847291,0.018419281672939526,4,0.001,Training1000
0.5246305418719212,0.03254562066325894,5,0.001,Training1000
0.5197044334975369,0.011190767616716297,1,0.01,Training1000
0.5443349753694581,0.06674784423846322,2,0.01,Training1000
0.5492610837438424,0.08085706509637046,3,0.01,Training1000
0.5049261083743842,-0.012355787123185668,4,0.01,Training1000
0.5295566502463054,0.042949176807444436,5,0.01,Training1000
0.5467980295566502,0.06491425710351727,1,0.1,Training1000
0.5443349753694581,0.06152385236274564,2,0.1,Training1000
0.541871921182266,0.05739321466909667,3,0.1,Training1000
0.541871921182266,0.05739321466909667,4,0.1,Training1000
0.541871921182266,0.05739321466909667,5,0.1,Training1000
0.5197044334975369,0,1,1,Training1000
0.5197044334975369,0,2,1,Training1000
0.5197044334975369,0,3,1,Training1000
0.5197044334975369,0,4,1,Training1000
0.5197044334975369,0,5,1,Training1000
0.5517241379310345,0.08606060606060606,1,0.001,Training1001
0.5394088669950738,0.05327081826570568,2,0.001,Training1001
0.5467980295566502,0.07197694352654731,3,0.001,Training1001
0.5369458128078818,0.05518282870794449,4,0.001,Training1001
0.5443349753694581,0.07228082310219598,5,0.001,Training1001
0.5566502463054187,0.08743537873679488,1,0.01,Training1001
0.5566502463054187,0.09574599717884628,2,0.01,Training1001
0.541871921182266,0.06818686606944546,3,0.01,Training1001
0.5492610837438424,0.07610236514213253,4,0.01,Training1001
0.541871921182266,0.060769632596204166,5,0.01,Training1001
0.5541871921182266,0.081080405151932,1,0.1,Training1001
0.5443349753694581,0.06264819668039437,2,0.1,Training1001
0.5443349753694581,0.06302237968114568,3,0.1,Training1001
0.5541871921182266,0.081080405151932,4,0.1,Training1001
0.541871921182266,0.057016558028021413,5,0.1,Training1001
0.5197044334975369,0,1,1,Training1001
0.5197044334975369,0,2,1,Training1001
0.5197044334975369,0,3,1,Training1001
0.5197044334975369,0,4,1,Training1001
0.5197044334975369,0,5,1,Training1001
0.5492610837438424,0.06077920764543793,1,0.001,Training1002
0.541871921182266,0.05675743192605544,2,0.001,Training1002
0.5517241379310345,0.08281614616950488,3,0.001,Training1002
0.5714285714285714,0.1266442488378992,4,0.001,Training1002
0.5320197044334976,0.04675992289061351,5,0.001,Training1002
0.5320197044334976,0.03430145217826732,1,0.01,Training1002
0.5566502463054187,0.09289508961819162,2,0.01,Training1002
0.5566502463054187,0.09370504489309972,3,0.01,Training1002
0.5541871921182266,0.09613539642321216,4,0.01,Training1002
0.5492610837438424,0.08371358804232541,5,0.01,Training1002
0.5615763546798029,0.09324968632371392,1,0.1,Training1002
0.5591133004926109,0.08794959965864316,2,0.1,Training1002
0.5615763546798029,0.09324968632371392,3,0.1,Training1002
0.5591133004926109,0.08794959965864316,4,0.1,Training1002
0.5591133004926109,0.08794959965864316,5,0.1,Training1002
0.5221674876847291,0,1,1,Training1002
0.5221674876847291,0,2,1,Training1002
0.5221674876847291,0,3,1,Training1002
0.5221674876847291,0,4,1,Training1002
0.5221674876847291,0,5,1,Training1002
0.5566502463054187,0.09305269428379957,1,0.001,Training1003
0.5270935960591133,0.03689243618572245,2,0.001,Training1003
0.5689655172413793,0.1105185407746815,3,0.001,Training1003
0.5394088669950738,0.05661174482467245,4,0.001,Training1003
0.5147783251231527,0.008626887131559922,5,0.001,Training1003
0.5344827586206896,0.035980803537777335,1,0.01,Training1003
0.5517241379310345,0.08115098609763989,2,0.01,Training1003
0.5443349753694581,0.07085776491254114,3,0.01,Training1003
0.541871921182266,0.06837079621999062,4,0.01,Training1003
0.5443349753694581,0.06390986814227682,5,0.01,Training1003
0.5714285714285714,0.1109265272219285,1,0.1,Training1003
0.5689655172413793,0.10604192355117155,2,0.1,Training1003
0.5492610837438424,0.06845708267509233,3,0.1,Training1003
0.5689655172413793,0.10604192355117155,4,0.1,Training1003
0.5615763546798029,0.09002996801732602,5,0.1,Training1003
0.5246305418719212,0,1,1,Training1003
