Accuracy,Kappa,sigma,C,Resample
0.5197044334975369,0,0.03691417408949733,0.25,Training1000
0.5270935960591133,0.020334296845544837,0.1393190047123921,0.25,Training1000
0.5147783251231527,-0.00336201921870695,0.24172383533528688,0.25,Training1000
0.5467980295566502,0.062285040042176054,0.03691417408949733,0.5,Training1000
0.5295566502463054,0.031086788115050945,0.1393190047123921,0.5,Training1000
0.5270935960591133,0.017172252061426807,0.24172383533528688,0.5,Training1000
0.5443349753694581,0.058134577282872975,0.03691417408949733,1,Training1000
0.5320197044334976,0.039041283603657606,0.1393190047123921,1,Training1000
0.5147783251231527,0.0022454529577606206,0.24172383533528688,1,Training1000
0.5197044334975369,0,0.03691417408949733,0.25,Training1001
0.5394088669950738,0.05213613323678497,0.1393190047123921,0.25,Training1001
0.5123152709359606,-0.01028025637803185,0.24172383533528688,0.25,Training1001
0.541871921182266,0.05171158048069919,0.03691417408949733,0.5,Training1001
0.5344827586206896,0.04238113066267319,0.1393190047123921,0.5,Training1001
0.5123152709359606,-0.007040312680079142,0.24172383533528688,0.5,Training1001
0.5566502463054187,0.08707058088694576,0.03691417408949733,1,Training1001
0.5246305418719212,0.02172338884866046,0.1393190047123921,1,Training1001
0.5172413793103449,0.0071120205624736815,0.24172383533528688,1,Training1001
0.4408866995073892,-0.1061475311457308,0.03691417408949733,0.25,Training1002
0.5369458128078818,0.043173043173043206,0.1393190047123921,0.25,Training1002
0.5172413793103449,-0.004341680129240657,0.24172383533528688,0.25,Training1002
0.5197044334975369,-0.004465984927301048,0.03691417408949733,0.5,Training1002
0.5541871921182266,0.08190699882561657,0.1393190047123921,0.5,Training1002
0.5295566502463054,0.026366672525927018,0.24172383533528688,0.5,Training1002
0.5517241379310345,0.06908889336827247,0.03691417408949733,1,Training1002
0.5221674876847291,0,0.1393190047123921,1,Training1002
0.5197044334975369,0.004175995572438263,0.24172383533528688,1,Training1002
0.5246305418719212,0,0.03691417408949733,0.25,Training1003
0.5566502463054187,0.08211710919641282,0.1393190047123921,0.25,Training1003
0.5295566502463054,0.012379327033291691,0.24172383533528688,0.25,Training1003
0.5665024630541872,0.10521175085777244,0.03691417408949733,0.5,Training1003
0.5517241379310345,0.07238444349594512,0.1393190047123921,0.5,Training1003
0.5147783251231527,-0.010409560625584376,0.24172383533528688,0.5,Training1003
0.5566502463054187,0.08026882126406401,0.03691417408949733,1,Training1003
0.5492610837438424,0.07310561640759511,0.1393190047123921,1,Training1003
0.5197044334975369,0.005377019523103643,0.24172383533528688,1,Training1003
0.49014778325123154,-0.05753114382785966,0.03691417408949733,0.25,Training1004
0.5320197044334976,0.018175338560227974,0.1393190047123921,0.25,Training1004
0.5270935960591133,0,0.24172383533528688,0.25,Training1004
0.5689655172413793,0.10297199707092897,0.03691417408949733,0.5,Training1004
0.5344827586206896,0.020325307050021682,0.1393190047123921,0.5,Training1004
0.5295566502463054,0.0054890091568985016,0.24172383533528688,0.5,Training1004
0.5541871921182266,0.06546786377394002,0.03691417408949733,1,Training1004
0.5517241379310345,0.07759524641733655,0.1393190047123921,1,Training1004
0.5172413793103449,-0.006068574896328436,0.24172383533528688,1,Training1004
0.5270935960591133,0,0.03691417408949733,0.25,Training1005
0.5615763546798029,0.09188238250816788,0.1393190047123921,0.25,Training1005
0.5270935960591133,0.010057909174032414,0.24172383533528688,0.25,Training1005
0.5665024630541872,0.09859723483701678,0.03691417408949733,0.5,Training1005
0.5812807881773399,0.13699109732919856,0.1393190047123921,0.5,Training1005
0.5221674876847291,0.002532799756851192,0.24172383533528688,0.5,Training1005
0.5665024630541872,0.10158921746127529,0.03691417408949733,1,Training1005
0.5344827586206896,0.028511381763856876,0.1393190047123921,1,Training1005
0.5172413793103449,-0.009437791759691377,0.24172383533528688,1,Training1005
0.5270935960591133,0,0.03691417408949733,0.25,Training1006
0.541871921182266,0.044730051105601285,0.1393190047123921,0.25,Training1006
0.5270935960591133,0.00784034212401986,0.24172383533528688,0.25,Training1006
